,0,1
0,я,[195109]
1,и,[184112]
2,в,[149662]
3,не,[115513]
4,что,[93822]
5,он,[90096]
6,на,[73182]
7,она,[67343]
8,с,[66956]
9,быть,[66338]
10,—,[61782]
11,это,[50374]
12,–,[46217]
13,как,[42773]
14,ты,[39529]
15,но,[36989]
16,а,[36608]
17,они,[36324]
18,мы,[34053]
19,вы,[32294]
20,мой,[31248]
21,к,[30787]
22,всё,[29862]
23,о,[28726]
24,который,[28420]
25,у,[26886]
26,свой,[25774]
27,тот,[25756]
28,мочь,[23554]
29,так,[23305]
30,из,[22891]
31,от,[22460]
32,по,[22371]
33,бы,[21743]
34,этот,[21355]
35,за,[20687]
36,же,[19037]
37,сказать,[18815]
38,когда,[18382]
39,весь,[18278]
40,себя,[17581]
41,один,[15899]
42,только,[15383]
43,ещё,[15191]
44,то,[14922]
45,если,[14883]
46,такой,[14879]
47,знать,[14762]
48,чтобы,[14456]
49,для,[14067]
50,сам,[12624]
51,человек,[12068]
52,говорить,[11924]
53,время,[11286]
54,или,[11282]
55,уже,[10995]
56,ни,[10946]
57,день,[10720]
58,до,[10685]
59,наш,[10442]
60,год,[9548]
61,очень,[9498]
62,даже,[9452]
63,хотеть,[9334]
64,кто,[9301]
65,стать,[8772]
66,друг,[8694]
67,нет,[8675]
68,другой,[8636]
69,большой,[8543]
70,чем,[8538]
71,ли,[8489]
72,жизнь,[8267]
73,рука,[8224]
74,вот,[8196]
75,письмо,[8051]
76,раз,[8021]
77,да,[7849]
78,есть,[7681]
79,думать,[7653]
80,твой,[7510]
81,ваш,[7222]
82,какой,[7153]
83,слово,[7109]
84,видеть,[7073]
85,дело,[7052]
86,теперь,[7050]
87,должный,[6930]
88,хороший,[6907]
89,дом,[6665]
90,ничего,[6511]
91,потому,[6423]
92,потом,[6310]
93,самый,[6193]
94,глаз,[6078]
95,два,[5849]
96,где,[5819]
97,после,[5638]
98,без,[5619]
99,казаться,[5569]
100,там,[5502]
101,первый,[5482]
102,сделать,[5215]
103,через,[5197]
104,просто,[5086]
105,под,[5026]
106,женщина,[5013]
107,ведь,[4991]
108,писать,[4897]
109,тогда,[4761]
110,никогда,[4719]
111,каждый,[4638]
112,тем,[4633]
