nouns,dates,values,,adj,dates,values,,unkn,dates,values,,intj,dates,values,,prcl,dates,values,,prep,dates,values,,conj,dates,values
,1000,26.19,,,1000,13.34,,,1000,5.78,,,1000,0.1,,,1000,4.34,,,1000,10.23,,,1000,8.66
,1771,26.6,,,1771,13.93,,,1771,2.12,,,1771,0.06,,,1771,4.12,,,1771,10.9,,,1771,10.8
,1774,22.3,,,1774,12.97,,,1774,0.55,,,1774,0.24,,,1774,5.26,,,1774,9.89,,,1774,10.68
,1782,16.77,,,1782,12.99,,,1782,1.45,,,1782,0.09,,,1782,7.43,,,1782,8.77,,,1782,12.11
,1790,22.62,,,1790,14.93,,,1790,3.79,,,1790,0.28,,,1790,4.84,,,1790,10.12,,,1790,9.27
,1791,26.35,,,1791,15.34,,,1791,6.77,,,1791,0.05,,,1791,03.02,,,1791,10.59,,,1791,8.51
,1794,22.3,,,1794,12.41,,,1794,0.09,,,1794,0.05,,,1794,6.55,,,1794,9.94,,,1794,10.35
,1814,22.83,,,1814,11.65,,,1814,5.97,,,1814,0.08,,,1814,4.62,,,1814,10.72,,,1814,9.82
,1818,23.27,,,1818,14.12,,,1818,1.41,,,1818,0.04,,,1818,4.35,,,1818,9.31,,,1818,10.23
,1834,19.46,,,1834,12.76,,,1834,02.01,,,1834,0.13,,,1834,6.15,,,1834,09.08,,,1834,11.35
,1836,19.89,,,1836,12.92,,,1836,2.6,,,1836,0.06,,,1836,5.49,,,1836,9.61,,,1836,10.36
,1845,18.4,,,1845,11.82,,,1845,1.92,,,1845,0.15,,,1845,8.33,,,1845,8.54,,,1845,12.67
,1848,20.23,,,1848,11.42,,,1848,4.73,,,1848,0.32,,,1848,5.91,,,1848,8.74,,,1848,11.89
,1853,22.77,,,1853,14.44,,,1853,3.56,,,1853,0.02,,,1853,5.98,,,1853,9.38,,,1853,12.11
,1859,21.99,,,1859,12.45,,,1859,3.4,,,1859,0.03,,,1859,4.49,,,1859,10.88,,,1859,9.0
,1872,27.72,,,1872,13.43,,,1872,3.49,,,1872,0.04,,,1872,4.68,,,1872,10.46,,,1872,10.54
